SEASON_YEAR;LEAGUE;DIV;SEASON TYPE;TEAM;ID;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MPG;PPG;DRPG;ORPG;RPG;APG;SPG;BPG;TOPG;PFPG;EFPG;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;OPP_PPG;OPP_RPG;OPP_APG;OPP_SPG;OPP_BPG;OPP_2P%;OPP_3P%;OPP_FG%;OPP_FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS_TO;EFG%;TOV%;ORB%;FT_RATE;OPP_EFG%;OPP_TOV%;OPP_ORB%;OPP_FT_RATE
20232024;NBBL;NBBL A;PLAYOFFS;Baskets Juniors Oldenburg;20232024_NBBL_NBBL A_PLAYOFFS_Baskets Juniors Oldenburg;8;1600;587;170;90;260;114;83;32;168;199;582;200.0;73;21.3;11;33;14.3;10;4;21.0;25;73;155;291;53.3;52;175;29.7;207;466;44.4;121;188;64.4;72.4;32.8;11.9;9.6;3.4;51.3;25.9;39.8;60.8;5.0;76.6;15.0;55.8;95.7;94.4;1.3;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Baskets Paderborn;20232024_NBBL_NBBL A_PLAYOFFS_Baskets Paderborn;3;600;206;61;21;82;44;44;9;57;63;177;200.0;69;20.3;7;27;14.7;15;3;19.0;21;59;52;113;46.0;24;89;27.0;76;202;37.6;30;55;54.5;79.3;45.7;19.3;11.7;1.7;51.9;30.5;45.3;65.7;1.0;85.2;11.7;34.0;80.5;93.1;-12.5;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Bayer Giants Leverkusen;20232024_NBBL_NBBL A_PLAYOFFS_Bayer Giants Leverkusen;6;1200;440;127;77;204;76;64;22;115;140;399;200.0;73;21.2;13;34;12.7;11;4;19.2;23;67;125;256;48.8;33;136;24.3;158;392;40.3;91;149;61.1;72.0;34.5;15.5;8.5;4.8;48.6;29.6;41.2;58.2;3.0;79.9;13.6;48.8;91.8;90.2;1.7;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Berlin Braves Baskets;20232024_NBBL_NBBL A_PLAYOFFS_Berlin Braves Baskets;3;600;218;59;24;83;41;30;11;64;51;209;200.0;73;19.7;8;28;13.7;10;4;21.3;17;70;60;117;51.3;16;51;31.4;76;168;45.2;50;68;73.5;80.3;37.0;13.7;15.0;2.3;52.2;31.5;42.9;78.3;1.0;77.9;14.6;45.4;93.2;103.1;-9.8;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Eintracht Frankfurt;20232024_NBBL_NBBL A_PLAYOFFS_Eintracht Frankfurt;2;400;136;38;21;59;20;14;4;26;42;116;200.0;68;19.0;11;30;10.0;7;2;13.0;21;58;37;72;51.4;13;53;24.5;50;125;40.0;23;39;59.0;81.0;32.0;9.5;4.5;2.0;50.6;37.0;45.5;75.0;0.0;70.7;13.7;36.9;96.2;114.5;-18.4;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;FC Bayern München;20232024_NBBL_NBBL A_PLAYOFFS_FC Bayern München;5;1000;450;131;75;206;85;49;20;63;137;507;200.0;90;26.2;15;41;17.0;10;4;12.6;27;101;128;227;56.4;40;154;26.0;168;381;44.1;74;101;73.3;77.4;33.6;11.6;6.4;3.8;52.8;27.1;42.6;61.4;4.0;78.6;20.9;58.9;114.5;98.5;16.0;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;KICKZ IBAM;20232024_NBBL_NBBL A_PLAYOFFS_KICKZ IBAM;4;800;308;86;38;124;34;28;10;52;82;269;200.0;77;21.5;10;31;8.5;7;3;13.0;21;67;71;147;48.3;29;95;30.5;100;242;41.3;79;120;65.8;79.5;35.5;13.0;6.8;3.3;53.0;28.4;42.7;67.7;2.0;75.4;15.4;47.6;102.1;105.4;-3.3;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Medipolis SC Jena;20232024_NBBL_NBBL A_PLAYOFFS_Medipolis SC Jena;3;600;214;68;23;91;52;18;2;57;57;203;200.0;71;22.7;8;30;17.3;6;1;19.0;19;68;50;105;47.6;22;69;31.9;72;174;41.4;48;63;76.2;77.3;29.7;15.0;10.7;4.0;55.2;35.7;46.1;55.4;1.0;75.0;14.1;45.6;95.1;103.1;-8.0;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Niners Chemnitz Academy;20232024_NBBL_NBBL A_PLAYOFFS_Niners Chemnitz Academy;2;400;156;45;13;58;32;9;4;36;34;144;200.0;78;22.5;7;29;16.0;5;2;18.0;17;72;46;74;62.2;13;39;33.3;59;113;52.2;25;50;50.0;98.5;42.0;21.0;13.5;3.5;65.4;22.0;49.7;75.9;0.0;78.5;15.3;36.6;99.4;125.5;-26.1;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Porsche BBA Ludwigsburg;20232024_NBBL_NBBL A_PLAYOFFS_Porsche BBA Ludwigsburg;5;1000;409;113;62;175;87;60;17;93;100;420;200.0;82;22.6;12;35;17.4;12;3;18.6;20;84;93;168;55.4;48;159;30.2;141;327;43.1;79;128;61.7;75.4;35.4;17.4;11.6;2.0;47.1;31.4;41.3;63.8;3.0;81.3;17.6;55.8;100.6;92.7;7.9;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Sartorius Juniors;20232024_NBBL_NBBL A_PLAYOFFS_Sartorius Juniors;3;600;215;59;32;91;33;25;10;71;66;178;200.0;72;19.7;11;30;11.0;8;3;23.7;22;59;47;88;53.4;23;77;29.9;70;165;42.4;52;82;63.4;78.0;31.7;13.0;13.7;3.3;60.3;22.2;46.9;72.1;1.0;76.1;12.6;38.2;94.2;102.5;-8.3;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Team Urspring;20232024_NBBL_NBBL A_PLAYOFFS_Team Urspring;4;800;312;83;40;123;62;39;15;67;82;311;200.0;78;20.8;10;31;15.5;10;4;16.8;21;78;73;135;54.1;37;109;33.9;110;244;45.1;55;94;58.5;76.5;30.8;18.8;7.8;0.8;51.0;32.2;43.8;72.4;2.0;76.0;17.4;48.8;102.6;100.6;2.0;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Tornados Franken;20232024_NBBL_NBBL A_PLAYOFFS_Tornados Franken;3;600;216;73;37;110;51;38;5;69;57;202;200.0;72;24.3;12;37;17.0;13;2;23.0;19;67;57;131;43.5;20;68;29.4;77;199;38.7;42;69;60.9;81.0;36.3;17.7;11.0;4.3;52.6;33.0;42.5;60.9;1.0;82.5;13.1;41.3;87.3;98.2;-10.9;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;UBC Münster;20232024_NBBL_NBBL A_PLAYOFFS_UBC Münster;3;600;211;72;32;104;48;25;12;69;50;185;200.0;70;24.0;11;35;16.0;8;4;23.0;17;62;54;109;49.5;21;82;25.6;75;191;39.3;40;70;57.1;79.7;37.3;14.0;12.7;4.7;51.7;26.1;43.5;60.3;1.0;82.7;11.9;41.9;85.1;96.4;-11.3;;;;;;;;;;;
20232024;NBBL;NBBL A;PLAYOFFS;Young Rasta Dragons;20232024_NBBL_NBBL A_PLAYOFFS_Young Rasta Dragons;8;1600;658;200;123;323;119;102;34;141;164;720;200.0;82;25.0;15;40;14.9;13;4;17.6;21;90;148;290;51.0;75;260;28.8;223;550;40.5;137;185;74.1;68.8;29.0;12.9;9.4;3.1;46.4;28.0;39.9;70.7;6.0;78.2;19.0;62.8;105.2;88.0;17.3;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Alba Berlin;20232024_NBBL_NBBL A_REGULAR SEASON_Alba Berlin;14;2825;1070;360;159;519;230;143;35;327;291;1027;201.8;76;25.7;11;37;16.4;10;3;23.4;21;73;318;661;48.1;71;263;27.0;389;924;42.1;221;329;67.2;73.4;37.7;13.5;13.4;3.6;46.4;24.7;38.1;64.6;7.0;84.4;13.2;53.9;89.8;86.3;3.5;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Bamberg freakcity academy;20232024_NBBL_NBBL A_REGULAR SEASON_Bamberg freakcity academy;13;2625;957;303;143;446;185;91;27;247;244;861;201.9;74;23.3;11;34;14.2;7;2;19.0;19;66;262;532;49.2;83;289;28.7;345;821;42.0;184;306;60.1;88.3;37.2;18.4;10.8;2.7;55.0;31.1;46.2;65.5;3.0;79.1;13.3;37.3;92.1;110.5;-18.4;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Baskets Juniors Oldenburg;20232024_NBBL_NBBL A_REGULAR SEASON_Baskets Juniors Oldenburg;14;2800;1115;351;202;553;226;185;41;233;330;1219;200.0;80;25.1;14;40;16.1;13;3;16.6;24;87;307;628;48.9;98;327;30.0;405;955;42.4;207;325;63.7;71.7;32.0;11.5;9.0;3.1;49.1;27.7;40.7;67.7;10.0;79.2;17.7;61.7;100.6;90.6;10.0;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Baskets Paderborn;20232024_NBBL_NBBL A_REGULAR SEASON_Baskets Paderborn;14;2800;1051;310;143;453;276;161;57;281;267;1153;200.0;75;22.1;10;32;19.7;12;4;20.1;19;82;287;562;51.1;96;294;32.7;383;856;44.7;189;280;67.5;74.3;34.9;14.7;11.9;1.9;50.9;25.2;42.6;60.0;7.0;78.4;16.7;55.4;95.8;94.8;1.0;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Bayer Giants Leverkusen;20232024_NBBL_NBBL A_REGULAR SEASON_Bayer Giants Leverkusen;14;2825;1077;344;192;536;187;162;56;297;310;988;201.8;77;24.6;14;38;13.4;12;4;21.2;22;71;306;622;49.2;86;335;25.7;392;957;41.0;207;375;55.2;75.6;36.6;13.9;11.2;3.4;45.6;28.0;38.9;67.7;8.0;83.5;13.6;49.7;91.4;89.7;1.6;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Eisbären Bremerhaven;20232024_NBBL_NBBL A_REGULAR SEASON_Eisbären Bremerhaven;13;2600;812;310;123;433;160;128;49;359;235;663;200.0;62;23.8;9;33;12.3;10;4;27.6;18;51;239;524;45.6;60;248;24.2;299;772;38.7;154;241;63.9;89.5;38.2;22.5;16.5;2.4;53.0;31.3;45.3;64.5;1.0;84.0;8.6;25.8;74.3;106.5;-32.1;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;FC Bayern München;20232024_NBBL_NBBL A_REGULAR SEASON_FC Bayern München;13;2600;1062;289;144;433;185;143;33;236;276;1034;200.0;82;22.2;11;33;14.2;11;3;18.2;21;80;284;556;51.1;86;309;27.8;370;865;42.8;236;327;72.2;80.1;35.0;15.7;9.8;2.2;53.7;29.3;45.8;60.1;8.0;81.2;16.1;50.7;100.6;98.6;2.0;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Hamburg Towers;20232024_NBBL_NBBL A_REGULAR SEASON_Hamburg Towers;14;2800;1036;318;163;481;174;167;26;260;297;971;200.0;74;22.7;12;34;12.4;12;2;18.6;21;69;272;559;48.7;96;364;26.4;368;923;39.9;204;302;67.5;71.4;36.5;13.1;9.9;3.3;48.2;26.6;39.9;60.6;6.0;78.8;14.2;50.8;93.9;90.7;3.3;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;KICKZ IBAM;20232024_NBBL_NBBL A_REGULAR SEASON_KICKZ IBAM;14;2800;1150;351;167;518;216;138;52;213;291;1256;200.0;82;25.1;12;37;15.4;10;4;15.2;21;90;315;591;53.3;104;337;30.9;419;928;45.2;208;304;68.4;75.4;33.8;13.1;7.2;2.5;45.3;32.8;40.6;65.9;9.0;76.5;18.9;58.5;107.4;98.5;8.9;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Medipolis SC Jena;20232024_NBBL_NBBL A_REGULAR SEASON_Medipolis SC Jena;14;2800;1178;336;178;514;263;158;35;278;272;1258;200.0;84;24.0;13;37;18.8;11;3;19.9;19;90;304;577;52.7;105;321;32.7;409;898;45.5;255;378;67.5;77.2;31.5;16.1;11.1;2.5;48.9;33.9;42.3;66.3;7.0;81.5;18.0;57.9;103.2;94.7;8.5;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Niners Chemnitz Academy;20232024_NBBL_NBBL A_REGULAR SEASON_Niners Chemnitz Academy;13;2600;999;264;120;384;156;103;17;232;265;908;200.0;77;20.3;9;30;12.0;8;1;17.8;20;70;271;490;55.3;81;284;28.5;352;774;45.5;214;311;68.8;81.6;35.6;14.5;10.0;3.5;54.0;29.0;45.3;65.9;6.0;76.0;15.0;43.8;101.1;107.4;-6.3;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Porsche BBA Ludwigsburg;20232024_NBBL_NBBL A_REGULAR SEASON_Porsche BBA Ludwigsburg;14;2800;1191;347;191;538;275;174;66;231;270;1362;200.0;85;24.8;14;38;19.6;12;5;16.5;19;97;306;582;52.6;133;413;32.2;439;995;44.1;180;275;65.5;73.7;34.3;14.7;9.9;1.9;48.4;25.7;41.6;66.2;10.0;79.7;20.0;61.2;106.8;92.5;14.3;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;ROTH Energie BBA GIESSEN 46ers;20232024_NBBL_NBBL A_REGULAR SEASON_ROTH Energie BBA GIESSEN 46ers;14;2825;1046;292;166;458;175;121;22;261;310;897;201.8;75;20.9;12;33;12.5;9;2;18.6;22;64;309;649;47.6;64;256;25.0;373;905;41.2;236;368;64.1;89.6;40.9;18.3;10.8;3.6;54.5;27.5;45.0;68.7;3.0;80.3;12.9;34.8;92.2;110.5;-18.3;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Team Urspring;20232024_NBBL_NBBL A_REGULAR SEASON_Team Urspring;13;2600;1007;290;179;469;226;136;30;233;292;1061;200.0;77;22.3;14;36;17.4;10;2;17.9;22;82;268;510;52.5;101;341;29.6;369;851;43.4;168;260;64.6;71.0;30.1;13.6;9.2;2.1;53.4;26.2;42.3;72.4;8.0;75.8;17.2;53.8;102.2;93.7;8.5;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;UBC Münster;20232024_NBBL_NBBL A_REGULAR SEASON_UBC Münster;13;2625;1036;318;142;460;171;129;35;233;259;984;201.9;80;24.5;11;35;13.2;10;3;17.9;20;76;311;571;54.5;71;305;23.3;382;876;43.6;201;321;62.6;80.7;37.2;15.3;9.5;3.5;49.9;29.5;43.9;71.4;6.0;81.7;15.0;47.0;96.6;97.8;-1.2;;;;;;;;;;;
20232024;NBBL;NBBL A;REGULAR SEASON;Young Rasta Dragons;20232024_NBBL_NBBL A_REGULAR SEASON_Young Rasta Dragons;14;2825;1125;305;186;491;195;177;39;262;264;1135;201.8;80;21.8;13;35;13.9;13;3;18.7;19;81;276;543;50.8;120;406;29.6;396;949;41.7;213;290;73.4;71.2;32.8;13.9;9.9;3.3;52.9;26.9;45.0;60.6;10.0;78.2;17.0;55.9;101.9;90.3;11.6;;;;;;;;;;;
20232024;NBBL;NBBL A;SEASON;Alba Berlin;20232024_NBBL_NBBL A_SEASON_Alba Berlin;20;4025;1515;520;217;737;328;211;47;470;413;1475;201.3;76;26.0;11;37;16.4;11;2;23.5;21;74;440;911;48.3;104;373;27.9;544;1284;42.4;323;476;67.9;74.2;36.4;14.2;13.6;3.6;46.6;25.6;38.1;65.4;10.0;83.8;13.1;53.4;89.9;88.0;1.8;;;;;;;;;;;
