SEASON;LEAGUE;DIV;SEASON_TYPE;TEAM;PLAYER;POS;ROLE;ID;EST_POS;EST_ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MPG;PPG;RPG;APG;SPG;BPG;TOPG;PFPG;EFPG;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS_40;FIC;FIC_Gm;AS_RATIO;AS_RATE;AS_TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT_RATE
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Djibril Jeremias Claus;Wing;Receiver;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Djibril Jeremias Claus;3.0;4.3;2006;2;4.2;0;0;0;0;0;0;0;-1;0;0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.5;-10.9;-0.7;0;0;0.0;0;1;0.0;0;1;0.0;0;0;0.0;0.0;87.7;-87.7;-4.5;-0.1;-4.6;0.0;0.0;0.0;0.0;-0.1;-0.8;-0.4;0.0;0.0;0.0;0.0;0.0;0.0;10.1;0.0;0.0;0.0;0.0;0.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Elias Bingert;Point;Receiver;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Elias Bingert;1.4;4.2;2006;3;13.8;0;3;1;1;0;0;0;4;0;0;4.6;0.0;1.0;0.3;0.3;0.0;0.0;0.0;1.3;12.7;0.9;0;0;0.0;0;1;0.0;0;1;0.0;0;0;0.0;106.5;93.3;13.1;-3.6;0.5;-3.0;0.2;0.0;0.0;0.0;0.1;3.8;1.3;18.1;83.3;0.0;12.7;4.0;0.0;3.4;0.0;0.0;0.0;9.1;0.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Emil Bode;Wing;Receiver;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Emil Bode;2.9;4.3;2006;15;318.7;115;56;14;18;1;18;26;95;0;0;21.2;7.7;3.7;0.9;1.2;0.1;1.2;1.7;6.3;17.8;4.0;11;25;44.0;28;99;28.3;39;124;31.5;9;15;60.0;99.8;94.8;5.0;1.0;-0.1;1.0;1.2;0.7;0.3;1.0;0.1;64.1;4.3;3.3;9.2;0.8;10.2;3.0;0.3;20.3;44.2;42.7;12.1;5.5;7.3
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Erik Larsen;Combo;Creator;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Erik Larsen;2.4;2.8;2005;15;342.2;134;33;17;13;2;22;36;130;0;0;22.8;8.9;2.2;1.1;0.9;0.1;1.5;2.4;8.7;22.2;5.8;21;30;70.0;30;68;44.1;51;98;52.0;2;2;100.0;123.9;98.8;25.0;3.3;0.3;3.6;2.4;1.6;0.1;1.7;0.2;78.8;5.3;4.7;13.7;0.8;5.6;2.0;0.6;15.4;67.8;67.3;18.2;3.1;2.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Gaston Nguyen Manh;Point;Neutral;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Gaston Nguyen Manh;1.6;3.3;2008;7;78.8;25;6;5;3;0;5;7;23;0;0;11.3;3.6;0.9;0.7;0.4;0.0;0.7;1.0;3.3;19.1;2.3;4;8;50.0;5;10;50.0;9;18;50.0;2;4;50.0;118.9;99.9;19.0;-2.1;-0.1;-2.2;0.2;0.3;0.0;0.3;0.2;14.5;2.1;5.9;19.3;1.0;4.9;2.2;0.0;14.1;63.8;63.9;20.2;3.2;11.1
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Gerret Rensing;Forward;Receiver;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Gerret Rensing;3.4;4.1;2004;1;12.0;2;2;1;0;1;0;0;4;0;0;12.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;4.0;18.3;3.7;1;1;100.0;0;2;0.0;1;3;33.3;0;0;0.0;103.5;117.3;-13.8;-3.6;0.1;-3.5;0.1;0.0;0.0;0.0;0.0;3.5;3.5;8.9;31.3;0.0;9.1;0.0;8.5;11.0;33.3;33.3;0.0;8.1;0.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Janis Jünemann;Big;Creator;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Janis Jünemann;5.0;2.0;2005;14;378.9;203;149;21;19;10;42;40;292;7;0;27.1;14.5;10.6;1.5;1.4;0.7;3.0;2.9;20.9;38.9;15.8;76;119;63.9;4;13;30.8;80;132;60.6;39;55;70.9;117.5;88.6;29.0;5.3;0.7;5.9;3.6;2.4;0.8;3.2;0.3;196.4;14.0;3.6;10.3;0.5;22.8;2.7;2.7;22.5;65.9;62.1;21.2;16.3;29.5
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Jasper Brand;Big;Neutral;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Jasper Brand;4.9;3.7;2005;13;175.8;75;47;5;5;7;5;25;96;0;0;13.5;5.8;3.6;0.4;0.4;0.5;0.4;1.9;7.4;27.7;4.7;21;35;60.0;10;32;31.3;31;67;46.3;3;5;60.0;122.5;95.6;27.0;-0.6;-0.9;-1.5;0.2;0.9;0.2;1.1;0.2;61.6;4.7;2.4;6.6;1.0;15.5;1.5;4.0;18.4;54.3;53.7;6.7;10.6;4.5
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Jonathan Bingert;Wing;Receiver;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Jonathan Bingert;2.6;4.1;2006;2;7.4;2;3;0;0;0;0;1;4;0;0;3.7;1.0;1.5;0.0;0.0;0.0;0.0;0.5;2.0;19.4;1.2;1;1;100.0;0;1;0.0;1;2;50.0;0;0;0.0;111.0;98.5;12.5;-4.6;0.0;-4.5;0.0;0.0;0.0;0.0;0.1;2.3;1.1;0.0;0.0;0.0;23.5;0.0;0.0;13.3;50.0;50.0;0.0;0.0;0.0
20222023;NBBL;NBBL B;SEASON;Sartorius Juniors;Joshua Haase;Combo;Creator;20222023_NBBL_NBBL B_SEASON_Sartorius Juniors_Joshua Haase;2.4;2.7;2004;15;451.0;210;80;40;23;1;39;37;195;1;0;30.1;14.0;5.3;2.7;1.5;0.1;2.6;2.5;13.0;24.8;10.1;62;115;53.9;18;72;25.0;80;187;42.8;32;45;71.1;104.7;95.0;9.7;3.3;1.0;4.3;3.2;1.6;0.5;2.1;0.2;123.1;8.2;5.3;15.7;1.0;10.2;2.7;0.2;23.6;51.2;47.6;15.9;3.9;17.1
