PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Danas Kazakevicius;Bamberg freakcity academy;A;4.5;Forward;1.0;Pure Creator;2005;10;331.3;217;97;27;10;6;33;23;234;5;0;33.1;21.7;9.7;2.7;1.0;0.6;3.3;2.3;23.4;39.4;17.2;75;127;59.1;4;14;28.6;79;141;56.0;55;83;66.3;115.3;106.5;8.8;3.4;1.0;4.4;4.1;1.9;-0.1;1.8;0.2;159.1;15.9;4.5;12.3;0.8;16.3;1.5;1.6;27.6;62.3;57.4;15.7;10.5;39.0
Ben-Luca Port;Baskets Paderborn;A;5.0;Big;2.6;Creator;2005;14;418.9;212;121;43;25;31;33;40;281;2;0;29.9;15.1;8.6;3.1;1.8;2.2;2.4;2.9;20.1;33.2;14.4;76;162;46.9;4;18;22.2;80;180;44.4;48;66;72.7;105.5;88.3;17.2;3.4;2.1;5.4;5.7;1.4;1.1;2.5;0.2;199.3;14.2;5.9;17.0;1.3;17.2;3.0;6.6;25.6;51.4;45.6;13.6;12.3;26.7
Oskar Humpert;UBC Münster;A;4.4;Forward;2.2;Creator;2005;12;365.2;198;88;24;11;13;30;41;198;2;0;30.4;16.5;7.3;2.0;0.9;1.1;2.5;3.4;16.5;29.8;11.2;70;117;59.8;6;39;15.4;76;156;48.7;40;66;60.6;104.8;97.4;7.4;2.5;-0.1;2.4;3.0;1.2;0.4;1.6;0.2;127.0;10.6;4.1;10.8;0.8;13.4;1.5;3.0;24.8;54.3;50.6;13.9;8.6;25.6
Nikolas Sermpezis;FC Bayern München;A;2.5;Wing;2.3;Creator;2007;13;276.9;198;47;24;21;0;30;41;132;0;0;21.3;15.2;3.6;1.8;1.6;0.0;2.3;3.2;10.2;31.3;6.1;66;140;47.1;5;35;14.3;71;175;40.6;51;75;68.0;98.3;97.6;0.6;-2.6;-1.9;-4.5;-1.5;0.7;0.3;1.0;0.1;73.9;5.7;3.7;9.8;0.8;9.9;3.7;0.0;35.8;48.3;42.0;12.6;9.2;29.1
Jakob Lang;Medipolis SC Jena;A;4.8;Big;2.6;Creator;2005;14;312.5;197;87;16;17;11;29;35;210;2;0;22.3;14.1;6.2;1.1;1.2;0.8;2.1;2.5;15.0;33.7;10.3;59;106;55.7;16;47;34.0;75;153;49.0;31;42;73.8;109.3;90.7;18.6;1.7;-0.7;1.0;1.9;1.3;0.7;2.0;0.3;135.3;9.7;3.0;7.8;0.6;16.3;2.7;4.0;26.8;58.0;54.2;14.5;8.8;20.3
Janne Lasse Müller;Team Bonn/Rhöndorf;B;2.7;Wing;1.0;Pure Creator;2006;8;222.3;196;48;11;16;0;24;13;175;0;0;27.8;24.5;6.0;1.4;2.0;0.0;3.0;1.6;21.9;48.0;23.1;59;95;62.1;9;32;28.1;68;127;53.5;51;64;79.7;122.6;88.0;34.6;7.2;0.4;7.6;5.1;2.1;0.5;2.6;0.5;112.0;14.0;2.4;6.0;0.5;13.1;3.5;0.0;32.5;64.2;57.1;13.4;6.3;40.2
Luca Max Sarnowska;ratiopharm Ulm;B;2.9;Wing;1.5;Pure Creator;2006;9;236.1;195;43;14;17;0;17;17;167;0;0;26.2;21.7;4.8;1.6;1.9;0.0;1.9;1.9;18.6;45.7;13.5;55;95;57.9;16;49;32.7;71;144;49.3;37;49;75.5;124.5;86.5;38.0;7.6;-1.8;5.8;4.2;2.1;0.6;2.7;0.5;112.9;12.5;2.9;7.5;0.8;9.9;3.6;0.0;31.2;59.6;54.9;9.3;11.7;25.7
Viktor Ludviksson;UBC Münster;A;4.4;Forward;1.8;Pure Creator;2006;12;352.3;193;91;20;19;11;44;47;206;2;0;29.4;16.1;7.6;1.7;1.6;0.9;3.7;3.9;17.2;30.6;11.1;56;95;58.9;8;24;33.3;64;119;53.8;57;86;66.3;105.5;95.3;10.2;1.4;0.6;2.1;2.7;1.2;0.5;1.7;0.2;129.0;10.8;3.7;9.6;0.5;14.4;2.6;2.7;23.7;62.9;57.1;21.9;8.4;47.9
David Koch;Bayer Giants Leverkusen;A;2.7;Wing;2.4;Creator;2005;13;336.0;190;52;17;15;3;24;16;136;0;0;25.8;14.6;4.0;1.3;1.2;0.2;1.8;1.2;10.5;26.0;10.2;39;89;43.8;28;85;32.9;67;174;38.5;28;38;73.7;104.6;94.4;10.2;4.7;-1.2;3.5;3.6;1.0;0.6;1.6;0.2;92.0;7.1;3.1;7.7;0.7;8.3;2.1;0.9;25.8;50.2;46.6;11.2;6.1;16.1
Lennard Glowka;Niners Chemnitz Academy;A;2.3;Combo;1.0;Pure Creator;2006;10;293.4;186;28;25;14;4;32;27;151;0;0;29.3;18.6;2.8;2.5;1.4;0.4;3.2;2.7;15.1;35.1;12.0;39;70;55.7;22;53;41.5;61;123;49.6;42;54;77.8;114.9;108.0;7.0;2.9;0.0;2.9;2.9;1.7;-0.2;1.5;0.2;94.3;9.4;4.6;13.5;0.8;5.7;2.5;1.2;27.8;64.3;58.5;17.9;3.9;34.1
Tom Stoiber;Tornados Franken;B;4.0;Forward;1.0;Pure Creator;2006;9;253.0;185;63;18;11;4;18;20;214;1;0;28.1;20.6;7.0;2.0;1.2;0.4;2.0;2.2;23.8;46.2;17.7;47;64;73.4;14;36;38.9;61;100;61.0;49;59;83.1;140.9;91.6;49.2;7.6;0.4;8.0;5.5;2.5;0.4;3.0;0.5;144.4;16.0;4.5;12.0;1.0;13.6;2.1;1.4;22.8;74.8;68.0;12.5;7.0;49.0
Christian Mann;ROTH Energie BBA GIESSEN 46ers;A;4.9;Big;1.1;Pure Creator;2006;11;319.4;185;99;22;12;4;27;32;226;4;0;29.0;16.8;9.0;2.0;1.1;0.4;2.5;2.9;20.5;37.1;15.1;74;116;63.8;1;9;11.1;75;125;60.0;34;53;64.2;117.8;105.6;12.3;1.8;0.0;1.9;2.4;1.8;-0.1;1.7;0.2;150.9;13.7;4.5;12.1;0.8;16.8;1.9;1.1;23.2;63.3;60.4;15.4;14.5;27.2
Jannis Ridder;Baskets Paderborn;A;3.4;Forward;2.7;Creator;2005;14;429.3;183;80;28;30;7;42;41;206;2;0;30.7;13.1;5.7;2.0;2.1;0.5;3.0;2.9;14.7;24.1;10.7;44;78;56.4;25;56;44.6;69;134;51.5;20;35;57.1;100.6;91.5;9.1;3.1;1.4;4.5;5.0;0.8;0.9;1.7;0.2;136.4;9.7;5.0;14.1;0.7;11.1;3.6;1.4;19.8;61.8;60.8;21.9;5.3;14.9
Anton Meyer;Eisbären Bremerhaven;A;1.8;Combo;1.6;Pure Creator;2005;13;440.6;181;68;53;33;0;65;29;131;0;0;33.9;13.9;5.2;4.1;2.5;0.0;5.0;2.2;10.1;15.8;7.2;43;94;45.7;21;98;21.4;64;192;33.3;32;43;74.4;78.5;104.4;-25.9;-3.2;0.9;-2.3;-0.2;-1.0;0.0;-1.0;-0.1;81.4;6.3;6.8;18.4;0.8;8.6;3.6;0.0;26.4;43.3;38.8;23.6;3.2;16.7
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;A;2.6;Wing;3.0;Neutral;2005;13;380.6;178;49;17;27;2;27;44;124;0;0;29.3;13.7;3.8;1.3;2.1;0.2;2.1;3.4;9.5;21.5;5.2;30;78;38.5;26;81;32.1;56;159;35.2;40;59;67.8;98.5;108.1;-9.6;-1.8;1.0;-0.8;0.8;0.6;-0.2;0.4;0.0;75.1;5.8;3.0;7.8;0.6;6.9;3.5;0.5;23.4;48.7;43.4;12.7;5.4;25.2
