PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Stefan Bogdan;ART Giants Düsseldorf;B;3.3;Forward;1.0;Pure Creator;2005;5;130.0;80;35;15;9;4;11;11;93;1;0;26.0;16.0;7.0;3.0;1.8;0.8;2.2;2.2;18.6;40.8;16.4;27;51;52.9;2;9;22.2;29;60;48.3;20;28;71.4;113.2;106.1;7.0;0.4;1.2;1.6;1.5;0.8;-0.1;0.7;0.2;66.0;13.2;6.0;17.2;1.4;15.8;3.5;2.7;27.6;56.2;50.0;13.2;12.9;33.3
Ognjen Cocic;KICKZ IBAM;A;3.2;Wing;3.9;Neutral;2005;12;209.4;80;41;12;11;3;11;12;77;0;0;17.4;6.7;3.4;1.0;0.9;0.3;0.9;1.0;6.4;21.9;4.5;24;47;51.1;7;33;21.2;31;80;38.8;11;21;52.4;96.4;100.0;-3.6;-0.7;-0.8;-1.5;0.3;0.3;0.2;0.4;0.1;54.6;4.6;4.1;11.6;1.1;11.1;2.8;1.5;21.2;45.2;43.1;11.0;6.0;13.8
Tim Nocke;Baskets Juniors Oldenburg;A;4.7;Forward;4.3;Receiver;2005;9;185.6;80;60;3;9;2;17;21;76;0;0;20.6;8.9;6.7;0.3;1.0;0.2;1.9;2.3;8.4;20.5;5.6;34;71;47.9;1;11;9.1;35;82;42.7;9;23;39.1;89.2;84.4;4.8;-1.7;-2.6;-4.3;-1.1;0.0;0.6;0.6;0.1;47.9;5.3;1.1;2.7;0.2;18.4;2.5;1.3;24.5;43.9;43.3;15.6;15.2;11.0
Eric-Stéphane Nkoué;HAKRO Merlins Crailsheim;B;3.6;Forward;3.0;Neutral;2007;8;231.6;80;48;15;17;8;41;16;49;0;0;29.0;10.0;6.0;1.9;2.1;1.0;5.1;2.0;6.1;9.6;3.8;18;40;45.0;5;42;11.9;23;82;28.0;29;48;60.4;62.5;94.3;-31.8;-6.3;0.4;-5.9;-2.2;-1.3;0.3;-1.0;-0.2;28.8;3.6;3.8;10.1;0.4;12.1;3.6;3.8;28.2;39.5;31.1;28.4;2.9;35.4
Niels Dübener;Bayer Giants Leverkusen;A;2.8;Wing;2.6;Creator;2005;11;260.4;79;47;21;10;4;29;17;100;0;0;23.7;7.2;4.3;1.9;0.9;0.4;2.6;1.5;9.1;18.2;8.7;32;53;60.4;1;6;16.7;33;59;55.9;12;18;66.7;96.5;94.8;1.7;2.4;0.3;2.7;2.7;0.3;0.4;0.7;0.1;66.3;6.0;7.5;20.8;0.7;9.5;1.8;1.5;14.7;59.7;56.8;30.2;8.8;20.3
Joel Cwik;ratiopharm Ulm;B;2.2;Combo;1.8;Pure Creator;2006;6;120.4;79;10;13;8;1;14;7;66;0;0;20.1;13.2;1.7;2.2;1.3;0.2;2.3;1.2;11.0;35.9;8.4;21;40;52.5;5;13;38.5;26;53;49.1;22;26;84.6;115.7;92.4;23.3;1.1;-1.1;0.0;0.9;0.8;0.2;1.0;0.3;42.5;7.1;5.6;15.9;0.9;4.6;3.4;0.8;26.8;62.3;53.8;17.8;3.6;41.5
Jakub Ševčík;HAKRO Merlins Crailsheim;B;2.0;Combo;1.4;Pure Creator;2007;5;139.9;79;4;7;10;0;26;13;28;0;0;28.0;15.8;0.8;1.4;2.0;0.0;5.2;2.6;5.6;15.2;3.9;17;37;45.9;6;27;22.2;23;64;35.9;27;32;84.4;82.3;99.2;-16.9;-4.4;-1.4;-5.8;-1.7;-0.2;0.1;-0.1;0.0;6.8;1.4;2.5;6.6;0.3;1.7;3.6;0.0;33.4;51.4;40.6;25.0;1.0;42.2
Joshua Bonga;Young Rasta Dragons;A;1.6;Point;1.1;Pure Creator;2005;5;138.0;78;17;18;9;0;24;15;62;0;0;27.6;15.6;3.4;3.6;1.8;0.0;4.8;3.0;12.4;26.8;8.0;14;24;58.3;12;33;36.4;26;57;45.6;14;19;73.7;99.5;100.0;-0.5;1.7;-0.5;1.2;1.4;0.3;0.1;0.4;0.1;37.9;7.6;6.7;19.2;0.8;6.9;3.3;0.0;27.0;60.4;56.1;26.8;4.7;24.6
Malte Schröder;Metropol Baskets Ruhr;B;3.2;Wing;3.5;Neutral;2005;8;164.1;77;25;6;11;5;16;16;74;0;0;20.5;9.6;3.1;0.8;1.4;0.6;2.0;2.0;9.3;22.5;6.4;23;33;69.7;9;32;28.1;32;65;49.2;4;5;80.0;101.1;92.9;8.2;0.1;0.3;0.4;1.2;0.4;0.2;0.6;0.1;43.9;5.5;2.8;7.1;0.4;8.8;3.2;2.8;20.2;57.5;56.2;19.2;2.2;6.2
Clemens Weinmar;Dresden Titans;B;5.0;Big;3.1;Neutral;2005;8;217.9;77;66;9;4;17;21;14;97;2;0;27.2;9.6;8.3;1.1;0.5;2.1;2.6;1.8;12.1;21.7;9.7;31;59;52.5;1;17;5.9;32;76;42.1;12;23;52.2;86.8;97.7;-11.0;-1.1;0.5;-0.7;0.6;0.0;0.2;0.2;0.0;70.4;8.8;3.0;8.2;0.4;17.3;0.9;6.9;21.4;45.2;42.8;19.6;14.7;15.8
Edin Redzepovic;Sartorius Juniors;B;2.5;Combo;3.0;Creator;2007;10;176.7;76;19;11;11;2;27;15;62;0;0;17.7;7.6;1.9;1.1;1.1;0.2;2.7;1.5;6.2;19.3;4.1;17;26;65.4;8;22;36.4;25;48;52.1;18;25;72.0;95.9;89.1;6.8;0.4;-0.4;0.0;1.0;0.3;0.4;0.6;0.1;35.9;3.6;4.6;12.3;0.4;6.0;3.1;1.1;19.3;65.5;60.4;31.4;3.6;37.5
Alois Mounier;VfL Kirchheim Knights;B;2.0;Combo;3.7;Neutral;2005;13;317.8;76;29;28;11;1;16;21;73;0;0;24.4;5.8;2.2;2.2;0.8;0.1;1.2;1.6;5.6;12.8;3.7;21;40;52.5;8;39;20.5;29;79;36.7;10;16;62.5;94.8;98.7;-3.9;-0.2;0.8;0.7;1.7;0.3;0.2;0.5;0.1;48.0;3.7;8.1;25.9;1.8;5.1;1.8;0.3;13.9;44.5;41.8;15.7;2.8;12.7
John Hubertus Kropp;Berlin Braves Baskets;B;4.6;Forward;3.2;Neutral;2005;13;220.4;75;69;19;5;1;19;12;106;1;0;17.0;5.8;5.3;1.5;0.4;0.1;1.5;0.9;8.2;22.3;6.1;31;65;47.7;0;0;0.0;31;65;47.7;13;23;56.5;99.2;90.2;9.0;1.6;-1.9;-0.3;1.0;0.4;0.4;0.9;0.2;77.4;6.0;6.8;19.2;1.0;17.2;1.1;0.5;17.9;50.5;47.7;20.2;15.8;20.0
Danis Salkovic;TG Hanau;B;2.6;Wing;3.1;Neutral;2005;9;193.4;75;21;11;3;0;19;18;41;0;0;21.5;8.3;2.3;1.2;0.3;0.0;2.1;2.0;4.6;12.2;2.3;16;45;35.6;12;33;36.4;28;78;35.9;7;7;100.0;84.5;115.7;-31.3;-5.2;-1.7;-7.0;-2.4;-0.1;-0.4;-0.5;-0.1;16.6;1.8;4.0;10.7;0.6;6.3;0.8;0.0;22.5;46.4;43.6;19.0;2.4;9.0
Jordan Iloanya;Phoenix Hagen;B;3.3;Forward;2.8;Creator;2005;4;119.0;75;29;7;4;1;20;3;38;2;0;29.8;18.8;7.3;1.8;1.0;0.3;5.0;0.8;9.5;19.7;9.8;25;54;46.3;3;31;9.7;28;85;32.9;16;17;94.1;77.4;95.2;-17.8;-3.8;-1.7;-5.6;-1.4;-0.4;0.1;-0.2;-0.1;18.6;4.7;2.4;6.1;0.4;11.7;1.6;0.6;38.8;40.8;34.7;17.8;5.1;18.8
Colin Schuler;USC Heidelberg;B;2.6;Wing;2.7;Creator;2005;10;182.0;75;19;10;6;1;7;15;66;0;0;18.2;7.5;1.9;1.0;0.6;0.1;0.7;1.5;6.6;20.8;4.9;4;11;36.4;21;51;41.2;25;62;40.3;4;5;80.0;121.0;97.8;23.1;0.3;-0.5;-0.2;1.0;0.7;0.1;0.9;0.2;43.9;4.4;5.2;13.6;1.4;5.4;1.6;0.5;15.7;58.6;57.3;9.8;1.1;6.5
Justus Waller;Hamburg Towers;A;2.3;Combo;4.1;Receiver;2005;13;296.9;75;34;17;19;1;20;26;62;0;0;22.8;5.8;2.6;1.3;1.5;0.1;1.5;2.0;4.8;11.5;2.7;24;56;42.9;8;39;20.5;32;95;33.7;3;4;75.0;80.4;93.1;-12.7;0.0;0.9;0.9;1.8;-0.3;0.6;0.2;0.0;34.8;2.7;5.0;14.1;0.9;6.4;3.3;0.3;16.8;38.8;37.9;17.1;4.4;3.2
Noah Okpara;RheinStars Köln;B;2.1;Combo;2.4;Creator;2005;10;162.4;74;18;16;5;0;15;19;64;0;0;16.2;7.4;1.8;1.6;0.5;0.0;1.5;1.9;6.4;23.1;4.2;10;26;38.5;10;26;38.5;20;52;38.5;24;26;92.3;113.2;95.6;17.6;-1.1;-1.4;-2.5;-0.1;0.7;0.2;0.9;0.2;37.0;3.7;6.5;19.4;1.1;6.2;1.6;0.0;20.7;59.3;48.1;19.1;4.7;46.2
Josia Gentischer;BBA Giants Kornwestheim;B;2.7;Wing;2.6;Creator;2006;6;171.2;74;17;11;5;3;18;10;41;0;0;28.5;12.3;2.8;1.8;0.8;0.5;3.0;1.7;6.8;17.0;4.5;12;29;41.4;11;36;30.6;23;65;35.4;17;26;65.4;92.3;110.3;-17.9;-0.7;-0.6;-1.3;0.3;0.2;-0.2;-0.1;0.0;25.0;4.2;4.0;11.3;0.6;6.2;1.5;1.5;24.7;49.1;43.8;19.1;2.1;26.2
Philip Schneck;Team Urspring;A;1.6;Point;3.4;Neutral;2005;12;272.3;73;32;37;22;1;33;37;67;0;0;22.7;6.1;2.7;3.1;1.8;0.1;2.8;3.1;5.6;12.6;2.3;20;48;41.7;7;27;25.9;27;75;36.0;12;29;41.4;80.0;93.2;-13.2;-1.8;1.6;-0.1;1.1;-0.4;0.5;0.1;0.0;39.9;3.3;8.9;28.6;1.1;7.2;4.3;0.4;19.3;42.1;40.7;27.3;2.5;16.0
Daniel Biel;Medipolis SC Jena;A;3.7;Forward;2.5;Creator;2007;7;118.3;73;32;3;8;2;14;4;81;0;0;16.9;10.4;4.6;0.4;1.1;0.3;2.0;0.6;11.6;36.1;8.9;27;39;69.2;3;8;37.5;30;47;63.8;10;16;62.5;110.5;95.7;14.8;-0.3;-1.0;-1.2;0.5;0.5;0.2;0.6;0.2;56.3;8.0;1.7;4.3;0.2;15.6;3.3;1.8;23.5;68.4;67.0;20.6;13.4;21.3
Jan Trömel;RheinStars Köln;B;5.0;Big;3.1;Neutral;2006;10;191.9;73;57;10;5;7;16;30;111;2;0;19.2;7.3;5.7;1.0;0.5;0.7;1.6;3.0;11.1;25.2;6.8;32;53;60.4;1;3;33.3;33;56;58.9;6;8;75.0;109.2;88.6;20.5;-0.4;0.0;-0.4;0.9;0.6;0.4;1.0;0.2;66.8;6.7;4.5;12.9;0.6;16.7;1.4;3.6;17.0;61.7;59.8;21.2;11.4;10.7
Theo Sigmund;USC Heidelberg;B;4.8;Big;4.1;Receiver;2006;10;244.7;72;78;6;12;4;24;22;104;2;0;24.5;7.2;7.8;0.6;1.2;0.4;2.4;2.2;10.4;18.4;6.1;28;56;50.0;1;6;16.7;29;62;46.8;13;24;54.2;91.8;92.8;-1.0;0.2;-0.2;0.0;1.1;0.2;0.4;0.5;0.1;71.3;7.1;2.5;6.1;0.3;16.6;2.3;1.4;15.8;50.3;47.6;24.8;15.6;21.0
Martin Geuther;Medipolis SC Jena;A;1.3;Point;3.2;Neutral;2005;13;258.4;72;31;43;31;1;27;25;97;0;0;19.9;5.5;2.4;3.3;2.4;0.1;2.1;1.9;7.5;19.0;4.9;19;45;42.2;2;22;9.1;21;67;31.3;28;36;77.8;91.0;87.7;3.3;-0.5;3.4;2.9;2.8;0.1;0.7;0.8;0.1;68.3;5.3;11.5;35.9;1.6;7.0;5.9;0.4;17.6;44.2;32.8;24.6;2.2;41.8
Pablo Estelle;Team Urspring;A;4.3;Forward;4.1;Receiver;2007;13;253.7;72;71;14;14;5;18;35;109;2;0;19.5;5.5;5.5;1.1;1.1;0.4;1.4;2.7;8.4;19.7;4.6;23;43;53.5;4;24;16.7;27;67;40.3;14;23;60.9;98.3;91.2;7.1;0.4;0.4;0.8;1.6;0.3;0.5;0.9;0.1;71.4;5.5;4.9;14.2;0.8;16.9;2.9;2.4;16.3;47.2;43.3;18.9;13.3;20.9
Philipp Roos;KICKZ IBAM;A;4.0;Forward;3.6;Neutral;2005;10;206.5;71;42;6;5;3;15;31;78;1;0;20.7;7.1;4.2;0.6;0.5;0.3;1.5;3.1;7.8;19.2;3.4;25;46;54.3;2;7;28.6;27;53;50.9;15;23;65.2;106.8;102.3;4.5;-0.9;-1.2;-2.1;0.0;0.5;0.1;0.6;0.1;42.6;4.3;2.7;7.5;0.4;12.1;1.3;1.5;16.8;57.1;52.8;19.2;11.7;28.3
Paul Bahn;Alba Berlin;A;1.8;Combo;2.9;Creator;2006;8;165.6;70;21;15;12;0;18;13;52;0;0;20.7;8.8;2.6;1.9;1.5;0.0;2.3;1.6;6.5;18.7;5.1;6;27;22.2;13;35;37.1;19;62;30.6;19;24;79.2;91.9;87.2;4.7;0.3;0.0;0.3;1.1;0.1;0.5;0.6;0.1;34.8;4.3;5.9;15.9;0.8;6.9;3.5;0.0;22.5;48.9;41.1;19.9;5.6;30.6
Finn Feldheim;TS Jahn München;B;5.0;Big;2.8;Creator;2005;8;182.8;70;48;5;7;4;17;26;93;1;0;22.8;8.8;6.0;0.6;0.9;0.5;2.1;3.3;11.6;23.8;7.5;23;37;62.2;4;12;33.3;27;49;55.1;12;14;85.7;106.3;91.3;15.0;-0.1;-0.7;-0.7;0.6;0.5;0.3;0.8;0.2;56.3;7.0;2.5;6.8;0.3;13.8;2.0;2.2;16.9;64.1;59.2;23.6;13.8;24.5
Paul Zaschel;Team Südhessen;B;3.3;Forward;3.8;Neutral;2005;10;300.7;69;36;15;15;7;19;32;72;0;0;30.1;6.9;3.6;1.5;1.5;0.7;1.9;3.2;7.2;11.1;3.7;17;41;41.5;9;32;28.1;26;73;35.6;8;12;66.7;81.8;96.8;-15.0;-0.1;1.5;1.4;2.0;-0.2;0.3;0.1;0.0;40.5;4.1;5.5;14.9;0.8;6.7;2.4;2.3;13.6;44.3;41.8;19.5;2.5;11.0
Leonardo Alfonso Benitez Arocha;Dresden Titans;B;1.4;Point;1.0;Pure Creator;2008;9;153.4;69;16;18;9;1;24;29;56;0;0;17.0;7.7;1.8;2.0;1.0;0.1;2.7;3.2;6.2;19.0;3.6;15;31;48.4;8;19;42.1;23;50;46.0;15;21;71.4;92.6;99.1;-6.5;-5.7;-0.2;-6.0;-1.7;0.2;0.1;0.2;0.1;25.4;2.8;6.9;20.6;0.8;6.1;3.0;0.6;23.4;59.1;54.0;28.8;0.7;30.0
Phil Härtl;Phoenix Hagen;B;3.8;Forward;3.0;Creator;2007;9;187.1;69;39;6;5;2;17;15;65;0;0;20.8;7.7;4.3;0.7;0.6;0.2;1.9;1.7;7.2;18.7;5.1;20;37;54.1;7;20;35.0;27;57;47.4;8;17;47.1;92.5;102.9;-10.4;-2.7;-0.5;-3.2;-0.6;0.2;0.0;0.1;0.0;40.4;4.5;2.7;7.2;0.4;10.9;1.4;0.8;19.4;54.1;53.5;20.9;6.6;14.0
Joscha Zentgraf;Eintracht Frankfurt;B;3.4;Forward;3.3;Neutral;2005;9;212.4;69;57;18;13;0;15;22;87;0;0;23.6;7.7;6.3;2.0;1.4;0.0;1.7;2.4;9.7;22.6;6.8;14;33;42.4;4;19;21.1;18;52;34.6;29;50;58.0;102.6;82.6;20.0;2.9;0.1;3.0;2.6;0.5;0.7;1.2;0.2;65.0;7.2;6.5;19.1;1.2;14.5;3.2;0.0;17.5;47.9;38.5;16.9;11.7;55.8
Daron Khoranian;ART Giants Düsseldorf;B;2.0;Combo;2.8;Creator;2006;9;267.4;69;36;34;8;2;27;26;51;0;0;29.7;7.7;4.0;3.8;0.9;0.2;3.0;2.9;5.7;10.0;2.2;19;56;33.9;3;23;13.0;22;79;27.8;22;36;61.1;77.6;112.7;-35.1;-4.2;0.0;-4.2;-1.4;-0.4;-0.5;-0.9;-0.1;30.3;3.4;8.5;26.2;1.3;7.9;1.5;0.7;19.8;36.9;29.7;22.2;5.0;27.8
Fynn Thure Benzel;Medipolis SC Jena;A;3.8;Forward;3.5;Neutral;2005;12;198.1;69;55;17;11;0;26;21;88;0;0;16.5;5.8;4.6;1.4;0.9;0.0;2.2;1.8;7.3;18.4;4.5;27;53;50.9;2;4;50.0;29;57;50.9;9;19;47.4;87.8;94.4;-6.6;-1.6;0.1;-1.5;0.3;0.0;0.3;0.3;0.1;55.4;4.6;6.3;17.8;0.7;16.3;2.8;0.0;19.6;53.4;52.6;28.4;8.0;15.8
Nicolas Pritz;Team Bonn/Rhöndorf;B;3.0;Wing;3.9;Neutral;2006;12;211.3;68;33;8;11;2;24;26;53;0;0;17.6;5.7;2.8;0.7;0.9;0.2;2.0;2.2;4.4;12.2;2.2;11;25;44.0;8;31;25.8;19;56;33.9;22;30;73.3;87.0;88.1;-1.1;-0.2;0.1;-0.2;1.0;0.0;0.5;0.5;0.1;25.0;2.1;3.3;8.3;0.3;9.1;2.5;0.9;17.7;50.0;41.1;25.7;3.3;39.3
Epke Kruthaup;Young Rasta Dragons;A;1.4;Point;3.3;Neutral;2008;10;218.3;68;13;22;10;0;25;21;35;0;0;21.8;6.8;1.3;2.2;1.0;0.0;2.5;2.1;3.5;10.4;1.3;17;38;44.7;5;33;15.2;22;71;31.0;19;23;82.6;83.4;91.4;-8.0;-1.6;-1.1;-2.7;-0.4;-0.2;0.5;0.3;0.0;13.4;1.3;6.6;19.8;0.9;3.7;2.4;0.0;20.8;42.4;34.5;23.6;2.1;26.8
Mathéo Hermann;Alba Berlin;A;3.2;Wing;3.1;Neutral;2007;9;160.3;67;32;10;6;2;19;17;56;0;0;17.8;7.4;3.6;1.1;0.7;0.2;2.1;1.9;6.2;16.8;4.0;11;31;35.5;8;24;33.3;19;55;34.5;21;27;77.8;92.3;85.9;6.4;-1.0;-1.1;-2.1;0.1;0.1;0.5;0.6;0.1;33.1;3.7;4.5;11.3;0.5;10.3;1.7;1.2;20.8;50.9;41.8;22.1;7.7;38.2
Ernst Möller;Basketball Löwen Erfurt;B;2.2;Combo;2.7;Creator;2007;11;218.7;67;48;29;14;0;31;11;81;1;0;19.9;6.1;4.4;2.6;1.3;0.0;2.8;1.0;7.4;14.9;5.4;15;36;41.7;7;28;25.0;22;64;34.4;16;20;80.0;80.2;96.3;-16.1;-3.6;0.0;-3.6;-0.8;-0.2;0.2;0.0;0.0;56.3;5.1;9.6;26.3;0.9;10.5;2.9;0.0;18.7;46.5;39.8;29.9;4.1;25.0
Stefan Radic;TS Jahn München;B;5.0;Big;3.9;Neutral;2005;9;200.6;66;74;1;9;6;17;21;100;2;0;22.3;7.3;8.2;0.1;1.0;0.7;1.9;2.3;11.1;21.3;8.9;25;51;49.0;0;6;0.0;25;57;43.9;16;23;69.6;90.9;79.0;12.0;-0.8;-0.5;-1.3;0.3;0.1;0.8;0.9;0.2;64.9;7.2;0.4;1.2;0.1;19.7;2.4;3.2;17.9;49.8;43.9;20.2;12.9;28.1
Lenny Dittmar;Basketball Löwen Erfurt;B;3.4;Forward;3.6;Neutral;2007;8;218.7;66;45;16;10;6;19;19;76;1;0;27.3;8.3;5.6;2.0;1.3;0.8;2.4;2.4;9.5;15.2;5.3;21;47;44.7;4;19;21.1;25;66;37.9;12;19;63.2;87.9;96.4;-8.5;-1.4;0.4;-1.1;0.4;0.0;0.2;0.2;0.0;50.9;6.4;6.3;16.5;0.8;10.1;2.1;2.2;17.1;44.8;40.9;20.3;8.2;18.2
Kenny Wefing;Team Südhessen;B;1.2;Point;2.7;Creator;2006;10;214.9;65;14;27;10;0;22;23;21;0;0;21.5;6.5;1.4;2.7;1.0;0.0;2.2;2.3;2.1;8.0;-0.4;4;35;11.4;11;41;26.8;15;76;19.7;24;36;66.7;72.8;99.9;-27.2;-3.7;-1.5;-5.2;-1.6;-0.6;0.1;-0.5;-0.1;9.3;0.9;8.0;22.4;1.2;3.7;2.2;0.0;22.0;36.0;27.0;19.3;1.5;31.6
Dre Odeh;Bayer Giants Leverkusen;A;3.8;Forward;3.8;Neutral;2005;10;193.1;65;53;12;23;8;21;38;67;0;0;19.3;6.5;5.3;1.2;2.3;0.8;2.1;3.8;6.7;18.4;1.9;25;50;50.0;0;13;0.0;25;63;39.7;15;50;30.0;77.3;78.1;-0.7;-2.1;2.1;0.0;1.0;-0.4;0.8;0.4;0.1;47.3;4.7;4.2;10.9;0.6;14.7;5.8;4.2;21.4;39.2;39.7;19.8;11.9;23.8
Jervis Scheffs;ratiopharm Ulm;B;2.3;Combo;2.6;Creator;2007;5;120.0;65;20;13;7;0;11;5;60;0;0;24.0;13.0;4.0;2.6;1.4;0.0;2.2;1.0;12.0;29.3;8.9;14;28;50.0;6;22;27.3;20;50;40.0;19;23;82.6;107.9;91.4;16.6;1.3;-0.4;0.9;1.3;0.5;0.2;0.7;0.2;40.9;8.2;6.2;17.4;1.2;9.3;2.9;0.0;24.0;54.9;46.0;15.5;1.8;38.0
Jarne Jürgens;Young Rasta Dragons;A;4.7;Forward;3.9;Neutral;2005;11;226.5;65;41;7;4;11;7;25;83;0;0;20.6;5.9;3.7;0.6;0.4;1.0;0.6;2.3;7.5;19.3;4.0;28;44;63.6;1;8;12.5;29;52;55.8;6;21;28.6;112.7;91.1;21.6;1.9;-0.1;1.8;2.0;0.6;0.5;1.0;0.2;56.6;5.1;3.7;9.9;1.0;11.2;0.9;5.0;12.6;53.8;56.7;10.3;10.4;11.5
Michel Schillmöller;Young Rasta Dragons;A;1.3;Point;2.1;Creator;2007;7;148.2;64;9;14;9;0;15;11;54;0;0;21.2;9.1;1.3;2.0;1.3;0.0;2.1;1.6;7.7;22.9;6.7;12;26;46.2;8;18;44.4;20;44;45.5;16;19;84.2;110.5;85.0;25.5;0.4;-0.3;0.1;1.0;0.5;0.5;1.0;0.3;33.9;4.8;6.9;19.8;0.9;3.7;3.0;0.0;18.8;62.0;54.5;22.3;2.3;36.4
Yaro Stahn;Dresden Titans;B;3.1;Wing;3.9;Neutral;2006;10;246.9;64;27;6;3;2;14;19;38;0;0;24.7;6.4;2.7;0.6;0.3;0.2;1.4;1.9;3.8;9.6;1.3;23;42;54.8;2;20;10.0;25;62;40.3;12;25;48.0;86.9;106.6;-19.7;-2.6;-0.7;-3.3;-0.8;0.0;-0.2;-0.2;0.0;19.6;2.0;2.5;6.7;0.4;6.3;0.6;0.7;15.1;44.4;41.9;16.1;6.7;19.4
Max Emil Weber;Baskets Paderborn;A;3.3;Forward;4.1;Receiver;2006;10;191.6;64;26;4;7;2;7;13;58;0;0;19.2;6.4;2.6;0.4;0.7;0.2;0.7;1.3;5.8;17.5;3.8;7;17;41.2;14;39;35.9;21;56;37.5;8;11;72.7;106.4;99.7;6.7;0.0;-1.4;-1.4;0.4;0.4;0.1;0.5;0.1;39.9;4.0;2.2;5.8;0.6;7.6;1.9;0.9;15.8;53.0;50.0;10.3;7.4;14.3
Finn Drescher;Phoenix Hagen;B;2.4;Combo;3.0;Creator;2007;8;148.7;64;15;8;3;1;15;14;29;0;0;18.6;8.0;1.9;1.0;0.4;0.1;1.9;1.8;3.6;13.6;1.6;16;28;57.1;9;42;21.4;25;70;35.7;5;7;71.4;81.2;109.6;-28.4;-4.9;-1.9;-6.8;-2.0;-0.2;-0.2;-0.4;-0.1;11.1;1.4;3.3;8.9;0.5;5.2;1.0;0.5;26.5;44.0;42.1;17.0;2.9;7.1
Niklas Müller;Tornados Franken;B;2.5;Combo;4.1;Receiver;2006;13;193.1;63;20;12;5;1;10;10;40;0;0;14.9;4.8;1.5;0.9;0.4;0.1;0.8;0.8;3.1;13.7;1.8;8;12;66.7;14;54;25.9;22;66;33.3;5;12;41.7;97.7;98.5;-0.7;-0.5;-1.9;-2.4;-0.1;0.3;0.1;0.4;0.1;29.5;2.3;5.3;14.3;1.2;5.6;1.3;0.5;17.1;44.5;43.9;12.3;5.4;7.6
Wendland Noah;Würzburg Baskets Akademie;B;1.5;Point;2.3;Creator;2007;6;161.2;63;13;14;8;1;28;15;45;0;0;26.9;10.5;2.2;2.3;1.3;0.2;4.7;2.5;7.5;15.0;4.0;7;17;41.2;13;27;48.1;20;44;45.5;10;12;83.3;92.0;102.0;-10.0;-1.2;-0.3;-1.5;0.2;0.1;0.0;0.1;0.0;23.5;3.9;6.3;17.4;0.5;4.6;2.4;0.5;20.0;64.5;60.2;36.2;2.5;22.7
Ben Kessler;Team Südhessen;B;3.7;Forward;3.9;Neutral;2006;9;162.4;63;30;4;14;3;6;17;56;0;0;18.0;7.0;3.3;0.4;1.6;0.3;0.7;1.9;6.2;19.3;4.4;13;29;44.8;11;45;24.4;24;74;32.4;4;6;66.7;85.5;92.8;-7.3;-2.3;0.1;-2.2;0.0;0.0;0.3;0.2;0.1;35.8;4.0;1.9;4.8;0.7;10.4;4.2;1.9;21.4;41.2;39.9;7.3;3.8;5.4
Darijo Kopilovic;Berlin Braves Baskets;B;3.1;Wing;3.1;Neutral;2007;12;136.9;63;29;10;12;1;8;14;68;0;0;11.4;5.3;2.4;0.8;1.0;0.1;0.7;1.2;5.7;26.6;4.2;29;56;51.8;0;4;0.0;29;60;48.3;5;13;38.5;96.9;81.9;14.9;-2.1;-0.5;-2.6;0.0;0.2;0.5;0.7;0.2;45.1;3.8;4.8;13.1;1.3;11.2;4.3;0.8;22.5;48.3;48.3;10.9;6.9;8.3
Paul Levi Urban;Berlin Braves Baskets;B;3.0;Wing;3.1;Neutral;2005;11;191.0;62;37;19;14;3;7;16;92;0;0;17.4;5.6;3.4;1.7;1.3;0.3;0.6;1.5;8.4;24.6;6.6;25;40;62.5;1;18;5.6;26;58;44.8;9;13;69.2;108.2;85.4;22.9;2.1;0.8;2.9;2.5;0.5;0.5;1.1;0.2;66.1;6.0;8.6;25.3;2.7;10.5;3.6;1.6;15.6;49.1;45.7;9.9;8.4;15.5
Simon Zieger;Team Bonn/Rhöndorf;B;4.2;Forward;3.8;Neutral;2005;11;204.8;62;41;5;3;1;15;28;72;0;0;18.6;5.6;3.7;0.5;0.3;0.1;1.4;2.5;6.5;15.7;3.6;24;40;60.0;1;5;20.0;25;45;55.6;11;16;68.8;106.1;96.8;9.3;1.5;-0.7;0.7;1.5;0.4;0.2;0.6;0.1;37.5;3.4;2.8;7.3;0.3;11.8;0.7;0.5;13.4;60.3;56.7;22.4;10.3;24.4
Jonas Pohle;Bayer Giants Leverkusen;A;2.6;Wing;3.6;Neutral;2007;12;171.1;62;18;4;8;1;25;21;33;0;0;14.3;5.2;1.5;0.3;0.7;0.1;2.1;1.8;2.8;9.8;1.0;7;20;35.0;13;33;39.4;20;53;37.7;9;11;81.8;81.0;94.5;-13.5;-3.3;-1.1;-4.3;-0.9;-0.2;0.3;0.1;0.0;10.1;0.8;1.9;4.8;0.2;5.7;2.3;0.6;19.6;54.0;50.0;30.2;2.5;17.0
