TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO;EFG%;TOV%;ORB%;FT-RATE;OPP EFG%;OPP TOV%;OPP ORB%;OPP FT-RATE
ratiopharm Ulm;B;11;2200;954;266;156;422;195;146;42;175;206;1086;200.0;86.7;24.2;14.2;38.4;17.7;13.3;3.8;15.9;18.7;98.7;298;530;56.2;69;263;26.2;367;793;46.3;151;223;67.7;68.9;33.5;14.5;9.5;3.1;47.4;27.9;39.9;61.0;9;80.0;20.5;65.2;108.5;86.2;22.3;54.1;1.1;1.1;50.6;16.6;38.7;19.0;45.2;23.6;31.3;20.3
RheinStars Köln;B;10;2025;820;244;140;384;175;86;26;150;189;871;202.5;82.0;24.4;14.0;38.4;17.5;8.6;2.6;15.0;18.9;87.1;204;419;48.7;86;273;31.5;290;692;41.9;154;222;69.4;70.9;33.7;14.4;7.7;3.1;48.3;25.9;40.1;63.5;9;76.7;18.5;60.1;105.6;91.3;14.3;52.5;1.1;1.2;48.1;16.1;37.8;22.3;44.9;20.0;30.5;19.2
Rostock Seawolves;B;10;2000;776;239;113;352;134;80;20;197;187;697;200.0;77.6;23.9;11.3;35.2;13.4;8.0;2.0;19.7;18.7;69.7;179;369;48.5;101;325;31.1;280;694;40.3;115;169;68.0;87.0;40.4;17.7;11.8;3.9;55.3;29.1;43.7;65.2;4;82.8;13.5;38.9;93.8;105.1;-11.4;50.9;0.9;0.7;47.6;20.6;30.2;16.6;50.1;17.9;37.4;17.5
ROTH Energie BBA GIESSEN 46ers;A;14;2825;1046;292;166;458;175;121;22;261;310;897;201.8;74.7;20.9;11.9;32.7;12.5;8.6;1.6;18.6;22.1;64.1;309;649;47.6;64;256;25.0;373;905;41.2;236;368;64.1;89.6;40.9;18.3;10.8;3.6;54.5;27.5;45.0;68.7;3;80.3;12.9;34.8;92.2;110.5;-18.3;49.7;0.9;0.7;44.8;19.9;32.5;26.1;49.8;18.0;43.8;26.9
Sartorius Juniors;B;11;2225;1009;283;168;451;209;126;29;185;220;1108;202.3;91.7;25.7;15.3;41.0;19.0;11.5;2.6;16.8;20.0;100.7;254;479;53.0;103;331;31.1;357;810;44.1;192;270;71.1;71.0;31.0;12.5;9.1;2.4;50.1;23.8;40.4;66.2;10;81.1;20.4;67.6;111.9;86.6;25.3;55.0;1.1;1.1;50.4;16.8;41.3;23.7;44.8;21.8;26.5;21.1
SG Junior Löwen Braunschweig;B;10;2025;804;241;113;354;130;108;39;188;190;813;202.5;80.4;24.1;11.3;35.4;13.0;10.8;3.9;18.8;19.0;81.3;268;494;54.3;55;203;27.1;323;697;46.3;103;163;63.2;74.5;33.8;13.6;9.3;3.8;48.4;28.6;41.3;67.7;6;79.8;16.1;55.2;99.5;92.2;7.3;52.7;1.0;0.7;50.3;19.8;34.1;14.8;46.4;22.1;33.2;23.2
Team Bonn/Rhöndorf;B;13;2600;1122;334;177;511;171;137;38;243;298;1125;200.0;86.3;25.7;13.6;39.3;13.2;10.5;2.9;18.7;22.9;86.5;303;555;54.6;91;346;26.3;394;901;43.7;243;347;70.0;71.7;29.8;11.9;7.0;2.5;47.4;25.0;39.9;66.0;8;82.2;17.1;64.6;105.0;87.3;17.8;54.0;1.1;0.7;48.8;18.9;39.2;27.0;44.1;20.4;25.3;23.2
Team Südhessen;B;10;2000;700;219;92;311;121;127;26;197;204;609;200.0;70.0;21.9;9.2;31.1;12.1;12.7;2.6;19.7;20.4;60.9;232;486;47.7;47;199;23.6;279;685;40.7;95;168;56.5;78.8;40.2;15.2;10.2;2.9;53.1;30.0;44.4;63.3;2;83.3;11.8;38.4;84.0;94.6;-10.6;46.5;0.8;0.6;44.2;20.8;24.5;13.9;50.1;23.5;35.0;23.5
Team Urspring;A;13;2600;1007;290;179;469;226;136;30;233;292;1061;200.0;77.5;22.3;13.8;36.1;17.4;10.5;2.3;17.9;22.5;81.6;268;510;52.5;101;341;29.6;369;851;43.4;168;260;64.6;71.0;30.1;13.6;9.2;2.1;53.4;26.2;42.3;72.4;8;75.8;17.2;53.8;102.2;93.7;8.5;52.7;1.0;1.0;49.3;19.6;38.6;19.7;47.6;22.6;26.8;32.7
TG Hanau;B;10;2000;702;215;101;316;116;76;25;196;190;584;200.0;70.2;21.5;10.1;31.6;11.6;7.6;2.5;19.6;19.0;58.4;212;438;48.4;54;204;26.5;266;642;41.4;116;195;59.5;87.8;38.6;12.6;11.0;2.7;55.0;32.1;47.1;59.4;3;79.8;11.7;34.0;87.9;110.0;-22.0;48.8;0.9;0.6;45.6;21.4;28.8;18.1;52.6;16.1;38.7;19.3
Tornados Franken;B;13;2625;1115;310;187;497;234;153;34;240;238;1169;201.9;85.8;23.8;14.4;38.2;18.0;11.8;2.6;18.5;18.3;89.9;305;545;56.0;110;392;28.1;415;937;44.3;175;277;63.2;75.8;36.2;13.2;7.8;2.5;50.9;25.6;42.4;66.1;10;82.2;18.1;59.3;103.3;91.3;12.0;53.2;1.0;1.0;50.2;18.6;37.3;18.7;46.7;22.0;33.3;16.8
TS Jahn München;B;10;2000;689;236;127;363;154;118;25;184;174;670;200.0;68.9;23.6;12.7;36.3;15.4;11.8;2.5;18.4;17.4;67.0;159;361;44.0;85;302;28.1;244;663;36.8;116;192;60.4;67.2;38.9;14.1;9.8;4.8;48.7;24.7;39.2;61.5;6;77.3;14.2;50.2;89.2;87.0;2.2;46.6;0.9;0.8;43.2;19.9;33.1;17.5;44.1;22.9;35.9;17.3
UBC Münster;A;13;2625;1036;318;142;460;171;129;35;233;259;984;201.9;79.7;24.5;10.9;35.4;13.2;9.9;2.7;17.9;19.9;75.7;311;571;54.5;71;305;23.3;382;876;43.6;201;321;62.6;80.7;37.2;15.3;9.5;3.5;49.9;29.5;43.9;71.4;6;81.7;15.0;47.0;96.6;97.8;-1.2;51.6;1.0;0.7;47.7;18.8;29.3;22.9;48.3;19.3;30.7;24.5
USC Heidelberg;B;10;2000;792;252;131;383;126;111;24;210;200;743;200.0;79.2;25.2;13.1;38.3;12.6;11.1;2.4;21.0;20.0;74.3;213;437;48.7;78;262;29.8;291;699;41.6;132;207;63.8;80.4;38.7;17.3;12.4;2.5;52.4;27.6;44.1;57.0;3;85.4;14.0;46.1;92.8;94.2;-1.4;50.7;0.9;0.6;47.2;21.2;33.8;18.9;48.7;21.9;34.0;17.4
VfL Kirchheim Knights;B;14;2800;1029;342;176;518;245;111;38;246;261;1052;200.0;73.5;24.4;12.6;37.0;17.5;7.9;2.7;17.6;18.6;75.1;283;579;48.9;110;374;29.4;393;953;41.2;133;216;61.6;73.1;34.9;16.0;10.1;3.6;47.8;29.5;41.1;63.3;7;76.3;15.5;48.6;96.4;95.8;0.6;49.5;1.0;1.0;47.0;19.1;34.9;14.0;46.5;17.9;31.9;20.9
Würzburg Baskets Akademie;B;10;2000;843;273;127;400;151;69;33;226;191;848;200.0;84.3;27.3;12.7;40.0;15.1;6.9;3.3;22.6;19.1;84.8;252;460;54.8;58;186;31.2;310;646;48.0;165;251;65.7;84.3;32.6;14.9;13.6;2.6;52.8;25.0;43.0;65.8;6;83.4;15.9;52.7;101.1;101.1;0.0;56.5;1.0;0.7;52.5;23.2;39.2;25.5;47.4;16.5;32.1;19.5
Young Rasta Dragons;A;14;2825;1125;305;186;491;195;177;39;262;264;1135;201.8;80.4;21.8;13.3;35.1;13.9;12.6;2.8;18.7;18.9;81.1;276;543;50.8;120;406;29.6;396;949;41.7;213;290;73.4;71.2;32.8;13.9;9.9;3.3;52.9;26.9;45.0;60.6;10;78.2;17.0;55.9;101.9;90.3;11.6;52.8;1.0;0.7;48.1;19.7;36.5;22.4;49.1;24.4;30.7;21.4
