PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Noah Slingerland;Baskets Juniors Oldenburg;A;3.1;Wing;2.8;Creator;2005;8;185.1;72;31;11;11;3;24;27;71;0;0;23.1;9.0;3.9;1.4;1.4;0.4;3.0;3.4;8.9;17.7;6.5;19;26;73.1;6;27;22.2;25;53;47.2;16;21;76.2;94.7;92.8;1.8;-1.4;-0.1;-1.5;0.5;0.2;0.4;0.5;0.1;37.6;4.7;4.3;12.3;0.5;10.3;3.1;2.0;20.8;58.6;52.8;27.8;7.0;30.2
Matija Milosevic;KICKZ IBAM;A;3.1;Wing;1.4;Pure Creator;2005;4;112.9;71;19;7;4;2;5;11;63;1;0;28.2;17.8;4.8;1.8;1.0;0.5;1.3;2.8;15.8;34.6;14.3;9;21;42.9;13;32;40.6;22;53;41.5;14;18;77.8;121.7;103.5;18.2;1.7;0.2;1.8;2.8;0.8;0.0;0.8;0.3;41.8;10.4;3.6;10.3;1.4;10.1;1.9;1.9;27.0;59.0;53.8;7.6;2.1;26.4
Marko Masic;Porsche BBA Ludwigsburg;A;2.7;Wing;2.9;Creator;2005;5;138.1;69;14;8;5;1;7;17;53;0;0;27.6;13.8;2.8;1.6;1.0;0.2;1.4;3.4;10.6;20.7;6.8;9;21;42.9;14;36;38.9;23;57;40.4;9;12;75.0;113.4;96.7;16.7;0.6;-0.7;-0.1;1.5;0.5;0.2;0.7;0.2;31.5;6.3;4.2;11.2;1.1;5.8;1.8;0.7;21.1;55.8;52.6;10.1;2.4;15.8
David Koch;Bayer Giants Leverkusen;A;2.9;Wing;3.6;Neutral;2005;6;161.3;69;18;2;6;0;13;6;37;0;0;26.9;11.5;3.0;0.3;1.0;0.0;2.2;1.0;6.2;15.4;6.3;15;36;41.7;10;29;34.5;25;65;38.5;9;14;64.3;93.9;95.3;-1.4;1.5;-1.0;0.5;2.0;0.1;0.2;0.4;0.1;22.5;3.8;0.9;2.4;0.2;6.5;1.9;0.0;22.0;48.9;46.2;15.4;5.6;13.8
Calin Nita;Bayer Giants Leverkusen;A;1.1;Point;1.2;Pure Creator;2005;6;167.7;69;21;27;15;1;16;17;72;0;0;28.0;11.5;3.5;4.5;2.5;0.2;2.7;2.8;12.0;23.2;12.1;17;35;48.6;5;24;20.8;22;59;37.3;20;28;71.4;100.8;87.4;13.5;2.1;1.8;4.0;4.8;0.4;0.5;0.8;0.2;49.8;8.3;9.4;28.8;1.7;7.3;4.5;0.7;21.8;49.1;41.5;18.3;3.3;33.9
Simon Kohlhoff;Baskets Juniors Oldenburg;A;2.3;Combo;2.7;Creator;2006;7;234.2;68;29;29;16;11;19;15;88;0;0;33.5;9.7;4.1;4.1;2.3;1.6;2.7;2.1;12.6;19.4;13.5;21;48;43.8;5;13;38.5;26;61;42.6;11;22;50.0;97.5;89.1;8.3;3.6;2.5;6.1;7.6;0.3;0.6;0.9;0.1;67.3;9.6;9.4;30.1;1.5;7.4;3.6;5.9;17.0;48.7;46.7;21.2;4.3;18.0
Colin Schroeder;Baskets Juniors Oldenburg;A;3.8;Forward;2.8;Creator;2006;6;127.3;67;25;2;6;1;12;22;58;0;0;21.2;11.2;4.2;0.3;1.0;0.2;2.0;3.7;9.7;23.1;8.3;19;36;52.8;6;10;60.0;25;46;54.3;11;21;52.4;103.3;88.5;14.7;-2.2;-1.1;-3.3;-0.8;0.3;0.3;0.6;0.2;31.1;5.2;1.1;2.9;0.2;11.3;2.4;1.0;22.9;61.6;60.9;17.8;6.8;23.9
Miran Evin;Baskets Juniors Oldenburg;A;2.9;Wing;3.0;Creator;2006;7;197.0;64;41;20;12;2;22;25;77;0;0;28.1;9.1;5.9;2.9;1.7;0.3;3.1;3.6;11.0;17.1;8.2;12;29;41.4;7;28;25.0;19;57;33.3;19;21;90.5;93.9;93.2;0.7;0.2;0.8;1.0;2.6;0.2;0.4;0.5;0.1;46.1;6.6;7.0;21.5;0.9;12.6;3.2;1.3;20.3;48.9;39.5;24.9;6.5;33.3
Amon Levi Dörries;Alba Berlin;A;3.2;Wing;2.7;Creator;2006;6;141.4;64;28;9;11;1;18;12;64;1;0;23.6;10.7;4.7;1.5;1.8;0.2;3.0;2.0;10.7;20.5;8.7;22;42;52.4;0;5;0.0;22;47;46.8;20;26;76.9;93.7;89.6;4.1;-0.8;0.4;-0.4;1.3;0.1;0.3;0.5;0.1;38.8;6.5;4.4;11.4;0.5;11.4;3.8;0.8;22.8;55.7;46.8;23.5;6.3;42.6
Ivan Volf;FC Bayern München;A;2.9;Wing;3.8;Neutral;2006;5;133.9;62;17;4;4;2;5;12;42;0;0;26.8;12.4;3.4;0.8;0.8;0.4;1.0;2.4;8.4;19.2;4.7;15;24;62.5;8;36;22.2;23;60;38.3;8;13;61.5;106.6;103.1;3.5;1.2;-1.0;0.2;1.7;0.4;0.0;0.4;0.1;25.4;5.1;2.1;5.6;0.8;6.8;1.5;1.7;21.6;47.5;45.0;7.1;4.6;13.3
Tom Brüggemann;Baskets Paderborn;A;1.7;Point;1.0;Pure Creator;2007;3;108.7;61;16;20;8;0;11;7;58;0;0;36.2;20.3;5.3;6.7;2.7;0.0;3.7;2.3;19.3;26.9;16.5;17;39;43.6;6;19;31.6;23;58;39.7;9;10;90.0;96.7;94.5;2.2;1.7;0.2;1.8;2.7;0.2;0.2;0.4;0.1;40.8;13.6;9.1;25.7;1.8;8.1;3.4;0.0;28.7;49.2;44.8;15.0;5.6;15.5
Jorke Aav;Team Urspring;A;2.5;Wing;2.4;Creator;2005;4;133.9;61;17;13;4;2;17;10;47;0;0;33.5;15.3;4.3;3.3;1.0;0.5;4.3;2.5;11.8;18.8;8.6;9;21;42.9;11;28;39.3;20;49;40.8;10;14;71.4;95.1;102.9;-7.8;0.2;-0.5;-0.4;1.2;0.2;0.0;0.2;0.1;29.0;7.3;5.8;17.3;0.8;8.3;1.6;1.6;24.5;55.9;52.0;23.5;0.9;20.4
Nevio Bennefeld;Alba Berlin;A;5.0;Big;2.6;Creator;2007;6;141.4;59;36;6;6;6;15;18;81;1;0;23.6;9.8;6.0;1.0;1.0;1.0;2.5;3.0;13.5;21.8;10.1;23;35;65.7;4;8;50.0;27;43;62.8;1;2;50.0;99.8;89.5;10.3;0.0;0.6;0.6;2.1;0.2;0.3;0.6;0.2;49.0;8.2;3.8;10.0;0.4;14.7;2.1;4.6;17.8;67.4;67.4;25.5;7.2;2.3
Martin Kalu;FC Bayern München;A;2.4;Combo;3.6;Neutral;2005;5;114.3;58;17;8;6;2;6;19;38;0;0;22.9;11.6;3.4;1.6;1.2;0.4;1.2;3.8;7.6;19.5;2.8;11;32;34.4;9;30;30.0;20;62;32.3;9;14;64.3;99.9;99.1;0.8;-1.2;-0.7;-1.9;0.3;0.3;0.1;0.4;0.1;20.8;4.2;3.8;10.5;1.3;8.0;2.7;1.9;26.6;42.9;39.5;8.1;4.5;14.5
